SL,sentence,sentiment
216,আমি  তাদের প্রায়ই  আদেশ করতাম ডেলিভারি সবসময় দ্রুত আমার পিজা এবং রসুন নট ভাল,positive
217,আমি  তাদের প্রায়ই  আদেশ করতাম ডেলিভারি সবসময় দ্রুত আমার পিজা এবং রসুন নট ভাল,positive
218,"শুধুমাত্র একটি ব্লক দূরে আছে কাছাকাছি গ্রেট চীনা খাদ্যে জন্য, উনি উ লিয়াং ইয় এবং গ্র্যান্ড সিচুয়ান ।",positive
219,কেউ কেউ সেবা সম্পর্কে মারে এর কথা বলে ।,negative
220,"একটি রেস্টুরেন্ট, খাবার সবচেয়ে গুরুত্বপূর্ণ অংশ সম্পর্কে ভুলে গেছে এই জায়গাটি সত্যিই ট্রেন্ডি ",negative
221,"একটি রেস্টুরেন্ট, খাবার সবচেয়ে গুরুত্বপূর্ণ অংশ সম্পর্কে ভুলে গেছে এই জায়গাটি সত্যিই ট্রেন্ডি ",positive
222,কখনও হতাশ করা হয়েছে লাল চোখে,positive
223,শেফ থেকে হাট বন্ধ,positive
224,দূর থেকে গ্রাহকদের-এটি একটি পিছনে ঘর করা উচিত  ,negative
225,"পরিষেবা উন্নত হতে পারে কিন্তু সামগ্রিকভাবে এই জায়গাটি রেস্টুরেন্ট অভিজ্ঞতাতে সামান্য জিনিসগুলির গুরুত্ব (একের জন্য ভারী, কালো, এন্টিক-প্রতারক চায়ের) বোঝে।",positive
226,"পরিষেবা উন্নত হতে পারে কিন্তু সামগ্রিকভাবে এই জায়গাটি রেস্টুরেন্ট অভিজ্ঞতাতে সামান্য জিনিসগুলির গুরুত্ব (একের জন্য ভারী, কালো, এন্টিক-প্রতারক চায়ের) বোঝে।",negative
227,"আপনার ভাল বিলাসিতা আছে,  গ্রাহকদের টাকা পরিশোধে অক্ষম ।",negative
228,"পিজাটি সুস্বাদু - তারা বেশিরভাগ পিজারিয়া এর জন্য সাধারণ, হিমায়িত, চোরযুক্ত পনিরের পরিবর্তে তাজা মোজজারিয়া ব্যবহার করে।",positive
229,"নিউ ইয়র্ক শহরের সেরা এক জায়গা, এটি একটি চমত্কার শিথিল জায়গা এখনের  খাদ্য ভাল  ।",positive
230,"নিউ ইয়র্ক শহরের সেরা এক জায়গা, এটি একটি চমত্কার শিথিল জায়গা এখনের  খাদ্য ভাল  ।",positive
231,"একটি সমস্যা ছিল না,সেবা বন্ধুত্বপূর্ণ, এবং একটি টেবিলের মধ্যে হাঁটা ",positive
